time,trucknum,,3600,130
0,1,,7200,225
2099.974336,126,,10800,224
3825.148415,130,,14400,223
4499.974336,145,,18000,211
5099.974336,174,,21600,200
5699.974336,211,,25200,179
6300,218,,28800,147
6904.974336,225,,32400,163
7509.974336,186,,36000,142
8114.974336,189,,39600,157
8940.148415,194,,43200,168
9600,219,,46800,173
10499.97434,224,,50400,158
11399.97434,221,,54000,196
12299.97434,202,,57600,189
13199.97434,225,,61200,194
14099.97434,216,,64800,220
14925.14842,223,,68400,226
15600,220,,72000,221
16499.97434,203,,75600,225
17399.97434,230,,79200,228
18000,211,,82800,220
18899.97434,214,,86400,230
19725.14842,225,,90000,226
20399.97434,230,,93600,213
21000,203,,97200,214
21899.97434,200,,100800,228
22499.97434,177,,104400,156
23325.14842,184,,108000,103
23999.97434,185,,111600,104
24599.97434,188,,115200,110
25200,179,,118800,88
25800,160,,122400,99
26404.97434,159,,126000,80
27000,130,,129600,69
27604.97434,123,,133200,96
28204.97434,156,,136800,107
28800,147,,140400,134
29404.97434,128,,144000,98
30004.97434,147,,147600,146
30604.97434,142,,151200,118
31209.97434,157,,154800,164
31809.97434,144,,158400,164
32419.97434,163,,162000,172
33245.14842,130,,165600,159
33900,127,,169200,190
34504.97434,116,,172800,
35399.97434,135,,,
36299.97434,142,,,
37199.97434,143,,,
38399.97434,146,,,
39599.97434,157,,,
40500,156,,,
41700,173,,,
42899.97434,168,,,
44099.97434,171,,,
45525.14842,166,,,
46799.97434,173,,,
48299.97434,170,,,
49500,163,,,
50999.97434,158,,,
52425.14842,177,,,
53699.97434,196,,,
54900,221,,,
56399.97434,220,,,
57599.97434,189,,,
58725.14842,180,,,
59700,173,,,
60899.97434,194,,,
61799.97434,201,,,
62699.97434,196,,,
63599.97434,213,,,
64499.97434,220,,,
65399.97434,217,,,
66299.97434,220,,,
67199.97434,207,,,
68025.14842,226,,,
68700,223,,,
69599.97434,204,,,
70499.97434,211,,,
71100,228,,,
71999.97434,221,,,
72899.97434,202,,,
73725.14842,227,,,
74625.14842,222,,,
75299.97434,225,,,
76199.97434,220,,,
77025.14842,211,,,
77700,214,,,
78600,223,,,
79499.97434,228,,,
80399.97434,227,,,
81299.97434,224,,,
82199.97434,225,,,
83099.97434,220,,,
84899.97434,220,,,
85799.97434,217,,,
86625.14842,230,,,
87300,223,,,
88200,222,,,
89099.97434,221,,,
89925.14842,226,,,
90600,209,,,
91204.97434,230,,,
92030.14842,217,,,
92700,228,,,
93314.97434,213,,,
94199.97434,212,,,
95030.14842,219,,,
95700,222,,,
96600,223,,,
97500,214,,,
98625.14842,207,,,
99525.14842,224,,,
100200,211,,,
101099.9743,228,,,
101999.9743,209,,,
102899.9743,220,,,
103725.1484,207,,,
104400,156,,,
105225.1484,129,,,
105900,146,,,
106725.1484,159,,,
107399.9743,128,,,
108225.1484,103,,,
108899.9743,142,,,
109500,153,,,
110325.1484,156,,,
110999.9743,107,,,
111599.9743,104,,,
112200,103,,,
112804.9743,106,,,
113400,117,,,
114000,122,,,
114600,151,,,
115204.9743,110,,,
115809.9743,81,,,
116400,88,,,
117009.9743,85,,,
117644.9743,74,,,
118468.1484,81,,,
118824.9743,88,,,
119449.9743,85,,,
120245.1484,84,,,
120900,79,,,
121799.9743,92,,,
122625.1484,99,,,
123599.9743,82,,,
124725.1484,71,,,
125699.9743,80,,,
126899.9743,103,,,
128099.9743,98,,,
129299.9743,69,,,
130425.1484,90,,,
131699.9743,91,,,
133125.1484,96,,,
134400,105,,,
135899.9743,96,,,
137100,107,,,
138599.9743,112,,,
139799.9743,119,,,
141299.9743,134,,,
142500,111,,,
143700,98,,,
144899.9743,113,,,
146099.9743,102,,,
147000,129,,,
148125.1484,146,,,
149099.9743,159,,,
149999.9743,156,,,
150899.9743,153,,,
151799.9743,118,,,
152699.9743,135,,,
153525.1484,140,,,
154425.1484,159,,,
155100,164,,,
155999.9743,201,,,
156825.1484,186,,,
157499.9743,185,,,
158399.9743,164,,,
159225.1484,167,,,
159900,172,,,
160800,179,,,
161699.9743,172,,,
162525.1484,173,,,
163200,164,,,
164099.9743,181,,,
164999.9743,168,,,
165899.9743,159,,,
166799.9743,166,,,
167925.1484,179,,,
168900,190,,,
170099.9743,193,,,
171225.1484,208,,,
172200,211,,,
